Year,pairs,fledged, banded
1982,64,41,15
1983,38,23,0
1984,38,22,22
1985,59,33,39
1986,70,53,54
1987,45,30,30
1988,53,37,36
1989,53,37,37
1990,52,41,39
1991,38,24,24
1992,47,35,35
1993,46,33,33
1994,27,20,20
1995,29,,
1996,35,27,27
1997,45,32,32
1998,52,37,37
1999,45,15,15
2000,45,24,23
2001,55,34,34
2002,47,16,16
2003,60,46,46
2004,73,43,43
2005,55,35,33
2006,57,34,34
2007,69,41,41
2008,65,24,24
2009,63,44,44
2010,46,27,27
2011,31,16,16
2012,43,25,25
2013,33,19,19
2014,38,21,21
2015,45,36,36
