Band #,date (D/M/Y),Colour,Darvic,Sex,Age,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
837385,7/10/1989,OYR,A00,M,ad,0,0,0,0,0,0,0,1,1,1,3,1,3,0,5,3,3,3,1,3,1,3,3,3,0,0,0,0,0,0,0,0,0,0
844401,5/11/1985,WRR,A01,F,ad,0,0,0,3,3,5,5,3,3,3,3,3,1,1,3,1,3,5,1,3,3,3,5,3,3,1,5,3,3,0,5,5,3,3
847855,9/10/1996,NA,A02,F,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837335,3/21/1989,NA,A03,M,fl,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,5,5,3,3,1,1,3,5,5,5,3,3,0,0,0,0,1
816382,4/11/1982,NNW,A04,F,ad,0,0,0,0,3,3,3,3,3,1,0,1,3,0,0,0,0,5,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
844659,4/11/1984,RRG,A05,M,ad,0,0,1,3,3,1,3,3,3,1,3,3,1,5,1,5,1,5,1,5,3,3,1,1,1,5,5,1,3,0,0,0,0,0
816370,3/11/1982,RWN,A06,F,ad,3,1,0,0,3,1,3,3,3,3,5,3,3,3,3,3,3,5,3,3,3,3,3,3,0,0,0,0,0,0,0,0,1,0
844412,1/18/1986,ORB,A07,F,fl,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,1,5,5,5,0,0,0,0,0,0,0,0,0,0,0
847614,1/4/1988,NA,A08,M,fl,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,5,5,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0
845371,10/20/1990,NOO,A09,NA,ad,0,0,0,0,0,0,0,0,1,3,3,3,1,0,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837383,4/25/1989,NA,A10,M,fl,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,5,5,1,3,0,5,5,0,1,3,1,3,1,0,3,0,0,0
847541,10/14/1987,OGG,A11,F,ad,0,0,0,0,0,1,0,1,0,1,3,3,0,0,3,3,3,5,5,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0
837341,3/21/1989,NA,A12,M,fl,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,5,5,5,3,1,3,3,5,3,5,5,3,0,0,0,0,0,0
847935,9/20/1998,NA,A13,M,ad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,0,3,3,3,3,3,5,3,3,3,0,0,0,0
837308,10/15/1988,ORG,A14,M,ad,0,0,0,0,0,0,1,0,1,1,3,5,3,0,3,3,5,3,5,3,5,5,3,3,3,3,5,3,0,0,0,0,0,0
816160,10/25/1982,GBR,A15,M,ad,3,1,3,0,3,1,3,3,3,3,1,5,3,3,3,5,1,5,3,5,5,5,1,1,1,3,3,3,0,0,0,0,0,0
844834,1/2/1987,NA,A16,M,fl,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,5,5,3,3,5,3,3,3,3,3,5,3,1,3,5,3,1,3
844053,9/10/1983,RNN,A17,M,ad,0,1,0,0,0,1,1,3,3,3,3,3,3,5,1,3,3,5,3,3,5,3,3,1,3,0,0,0,0,0,0,0,0,0
847613,1/4/1988,NA,A18,M,fl,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,5,3,3,5,3,3,0,0,0,0,0,0,0,0,0,0,0
844693,9/4/1985,NOR,A19,M,fl,0,0,8,0,0,0,0,0,1,0,0,1,3,0,3,0,5,5,3,1,5,3,1,3,5,3,3,3,0,0,0,0,0,0
844408,1/18/1986,NA,A20,M,fl,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,3,5,5,3,1,3,3,0,0,3,1,5
